dataset,ngram_1_within,ngram_2_within,ngram_3_within,ngram_4_within,ngram_1_cross_jaccard,ngram_2_cross_jaccard,ngram_3_cross_jaccard,ngram_4_cross_jaccard,mean_embedding_cosine,vendi_score
c4,0.2581596152375833,0.7604898879899304,0.935110532414561,0.9729373059701295,0.7069749970900574,0.9331058597133027,0.9848780555926459,0.9964256414774244,0.0002055876263839491,1.3210093975067139
wikitext,0.2744994793989044,0.736731531980937,0.9190527646894219,0.970838971606522,0.718828854058008,0.9316408455571391,0.9803508708185911,0.9924582745128745,0.00031285690031307065,1.457661747932434
uspto,0.1619750122259815,0.5848632163529541,0.8198335430132909,0.9002090498877948,0.6073061344890996,0.8854054399419367,0.9619882194760524,0.9844898179499733,0.0003433936163135593,1.4732611179351807
openwebtext,0.24784444173177084,0.7379306102362206,0.918288070436508,0.9679822916666667,0.7030383293565137,0.9273366334058587,0.9812000206403362,0.9928610048154787,0.00028803738367295787,1.5060415267944336
